法律名称,法条内容
陕西省防震减灾条例(2009修订),"第二十八条 除发表本人或者本单位关于长期、中期地震活动趋势的研究成果，或者进行相关学术交流外，任何单位和个人不得向社会散布地震预测意见、地震预报意见及其评审结果。新闻媒体刊登、播发地震预报消息，应当以人民政府发布的地震预报为准。任何单位和个人不得制造、散布地震谣言。对扰乱社会秩序的地震谣传、误传，县级以上人民政府应当采取措施，迅速予以澄清。
"
西藏自治区文化市场管理条例(2009修订),"第二十二条 从事文化经营活动的单位或者个人在经营活动中不得有下列内容：
 （一）违反宪法确定的基本原则；
 （二）危害国家主权、统一和领土完整；
 （三）泄露国家秘密，危害国家安全或者损害国家荣誉和利益；
 （四）煽动民族仇恨、民族歧视，伤害民族感情，破坏民族团结，侵害民族风俗习惯，违反宗教政策；
 （五）危害社会公德或者民族优秀文化传统；
 （六）宣扬邪教、迷信；
 （七）散布谣言，扰乱社会秩序，破坏社会稳定；
 （八）宣扬淫秽、赌博、暴力或者教唆犯罪；
 （九）侮辱或者诽谤他人，侵害他人合法权益；
 （十）法律、法规禁止的其他内容。"
宁夏回族自治区计算机信息系统安全保护条例,"第十七条 任何单位或者个人不得利用计算机信息系统制作、传播、复制下列有害信息：
 （一）危害国家统一、主权和领土完整的；
 （二）泄露国家秘密、危害国家安全或者损害国家荣誉和利益的；
 （三）煽动民族仇恨、民族歧视，或者故意侵害民族风俗、习惯，破坏民族团结的；
 （四）煽动聚众滋事，损害社会公共利益的；
 （五）散布谣言，扰乱社会秩序、破坏社会稳定的；
 （六）宣扬邪教、封建迷信的；
 （七）宣扬暴力、凶杀、恐怖、淫秽、色情、赌博的；
 （八）教唆犯罪或者传授犯罪方法的；
 （九）侮辱、诽谤、恐吓他人，侵害他人合法权益的；
 （十）法律、法规禁止制作、传播、复制的其他信息。"
杭州市计算机信息网络安全保护管理条例,"第二十三条 任何单位或者个人不得利用计算机信息网络制作、发布、传播含有下列内容的信息：… （六）散布谣言，扰乱社会秩序，破坏社会稳定的；…
"
徐州市计算机信息系统安全保护条例,"第十九条 任何单位和个人不得利用计算机信息系统制作、复制、传播下列信息：
 （一）危害国家统一、主权和领土完整的；
 （二）泄露国家秘密，危害国家安全或者损害国家荣誉和利益的；
 （三）煽动民族仇恨、民族歧视，破坏民族团结或者侵害民族风俗、习惯的；
 （四）破坏国家宗教政策，宣扬邪教、迷信的；
 （五）煽动聚众滋事，损害社会公共利益的；
 （六）散布谣言，发布虚假信息，扰乱社会秩序，破坏社会稳定的；
 （七）宣扬淫秽、色情、赌博、暴力、凶杀、恐怖的；
 （八）教唆犯罪或者传授犯罪方法的；
 （九）散布他人隐私，或者侮辱、诽谤、恐吓他人的；
 （十）买卖法律、法规禁止流通的物品的；
 （十一）提供假票据、假证件的。"
山西省计算机信息系统安全保护条例,"第七条 任何单位和个人不得利用计算机信息系统制作、复制和传播含有下列内容的信息：
 （一）危害国家统一、主权和领土完整的；
 （二）危害国家安全的；
 （三）损害国家荣誉和利益的；
 （四）泄露国家秘密的；
 （五）破坏民族团结的；
 （六）宣扬邪教、封建迷信的；
 （七）散布谣言，扰乱社会秩序，破坏社会稳定的；
 （八）煽动、策划非法集会、游行、示威的；
 （九）宣扬淫秽、赌博、暴力、恐怖的；
 （十）教唆犯罪的；
 （十一）侮辱或者诽谤他人，侵害他人合法权益的；
 （十二）法律、法规禁止的其他内容。"
广东省计算机信息系统安全保护条例,"第二十五条 任何单位和个人不得利用计算机信息系统制作、传播、复制下列信息：
 （一）反对宪法确定的基本原则的；
 （二）危害国家统一、主权和领土完整的；
 （三）泄露国家秘密，危害国家安全或者损害国家荣誉和利益的；
 （四）煽动民族仇恨、民族歧视，破坏民族团结或者侵害民族风俗、习惯的；
 （五）破坏国家宗教政策，宣扬邪教、迷信的；
 （六）散布谣言，发布虚假信息，扰乱社会秩序，破坏社会稳定的；
 （七）煽动聚众滋事，损害社会公共利益的；
 （八）宣扬淫秽、色情、赌博、暴力、凶杀、恐怖的；
 （九）教唆犯罪的；
 （十）侮辱或者诽谤他人，侵害他人合法权益的；
 （十一）其他法律法规禁止的内容。"
西藏自治区信访条例(2007),"第十八条 信访人在信访活动中，应当遵守法律、法规，不得损害国家、社会、集体的利益和其他公民的合法权益，自觉维护社会公共秩序和信访秩序，不得有下列行为：
 （一）在国家机关办公场所周围、公共场所非法聚集，围堵、冲击国家机关，拦截公务车辆，或者堵塞、阻断交通；
 （二）携带危险物品、管制器具；
 （三）侮辱、殴打、威胁国家机关工作人员，或者非法限制他人人身自由；
 （四）在信访接待场所滞留、滋事，或者将生活不能自理的人弃留在信访接待场所；
 （五）煽动、串联、胁迫、以财物诱使、幕后操纵他人信访或者以信访为名借机敛财；
 （六）采取自残、自杀等过激行为；
 （七）以信访为名散布谣言，从事迷信、邪教等活动；
 （八）扰乱公共秩序、妨害国家和公共安全的其他行为。"
海南省防震减灾条例(2007修正),"第五十三条 违反本条例规定，有下列行为之一的，对有关责任人给予行政处分；属于违反治安管理行为的，依照《中华人民共和国治安管理处罚法》的规定给予处罚；构成犯罪的，依法追究刑事责任：
 （一）虚报、瞒报灾情的；
 （二）编造地震、火山谣言，蛊惑群众的；
 （三）贪污、截留、挪用防震减灾资金或者物资的；
 （四）有特定责任的国家工作人员在防震减灾工作中不执行命令或者玩忽职守的；
 （五）破坏地震、火山监测设施或者观测环境的；
 （六）盗窃、哄抢防震减灾资金、物资的；
 （七） 在地震、火山应急与救灾期间，阻碍灾区地震监测人员、抗震救灾人员执行公务的。"
江西省防震减灾条例(2007修订),"第十六条 省人民政府应当依照国家发布地震预报的规定，统一向社会及时发布地震预报。新闻媒体刊登或者播发地震预报消息，应当以国务院、省人民政府发布的地震预报为准。 对造成或者可能造成社会秩序混乱的地震谣言，各级人民政府应当迅速采取措施，予以澄清。
"
上海市人民代表大会常务委员会关于控制传染性非典型肺炎传播的决定,"五、公安、物价、工商行政、质量技术监督、卫生、药品监管等部门应当切实维护社会秩序，加强市场监管，对利用“非典”散布谣言、发布虚假信息扰乱社会秩序，哄抬物价或者从事其他欺骗性商业活动，辱骂、殴打医务人员和执法人员的，依法予以惩处。
"
山西省防震减灾条例(2002修订),"第五十二条 有下列行为之一，依照《中华人民共和国治安管理处罚条例》处罚；构成犯罪的，依法追究刑事责任： 
 （一）散布地震谣言，扰乱社会秩序的；
 （二）阻碍抗震救灾人员执行职务的；
 （三）哄抢公私财物的；
 （四）盗窃、贪污、挪用救灾资金或物资的；
 （五）损毁生命线工程或次生灾害源防护设施的。"
浙江省实施《中华人民共和国防震减灾法》办法,"第十四条 任何单位和个人不得制造、传播地震谣言。 因地震谣言影响社会正常秩序的，县级以上地震主管部门应当迅速采取措施予以澄清，其他有关部门和新闻媒体应当予以配合、协助，公安机关应当依法进行查处。
"
重庆市防震减灾条例,"第二十六条 违反本条例规定，有下列行为之一的，由其所在单位或上级主管部门给予行政处分；违反治安管理行为的，依照《中华人民共和国治安管理处罚条例》的规定给予处罚；构成犯罪的，依法追究刑事责任；造成经济损失的，依法承担赔偿责任。
 (一)擅自发布、散布或泄露地震预测预报意见的；
 (二)制造、散布地震谣言，扰乱社会正常秩序的；
 (三)实施第十二条规定的爆破作业未向地震主管部门报告并未按规定向社会发布信息的；
 (四)破坏地震监测设施的；"
安徽省防震减灾条例(2002修改),"第十五条 任何单位或个人不得对外泄露地震短期和临震预报信息。与地震预报有关的宣传报道，按国家规定执行。 对地震传言、谣言，县级以上人民政府应当迅速采取措施，予以澄清。
"
湖南省城市人民警察巡逻条例(2002修正),"第十七条 有下列扰乱公共秩序行为之一的，处15日以下拘留、200元以下罚款或者警告：
 (一)扰乱道路及公共广场秩序的；
 (二)结伙斗殴、寻衅滋事、侮辱妇女或者进行其他流氓活动的；
 (三)捏造或者歪曲事实、故意散布谣言或者以其他方法煽动扰乱社会秩序的；
 (四)谎报险情、制造混乱的；
 (五)拒绝、阻碍国家工作人员依法执行职务。未使用暴力、威胁方法的。"
辽宁省电信管理条例,"第二十四条 互联网上网服务营业场所经营者和上网用户不得利用互联网上网服务营业场所制作、复制、查阅、发布、传播危害国家安全，损害国家利益和荣誉，破坏民族团结和国家宗教政策，宣扬邪教和迷信，散布谣言，破坏社会稳定，散布淫秽、色情、赌博、暴力、凶杀、恐怖或者教唆犯罪，侮辱或者诽谤他人以及其他法律法规禁止的信息。
"
江西省实施《中华人民共和国防洪法》办法,"第五十一条 有下列行为之一，构成犯罪的，依法追究刑事责任；尚不构成犯罪，应当给予治安管理处罚的，依照《中华人民共和国治安管理处罚条例》的规定处罚：
 （一）阻碍、威胁防汛指挥机构、水行政主管部门工作人员依法执行职务的；
 （二）谎报洪水险情，故意散布谣言，扰乱社会秩序的。"
北京市实施《中华人民共和国防震减灾法》办法,"第四十三条 违反本办法第十四条的规定，从事地震工作的专业人员擅自向社会散布地震预测意见的，由市地震行政主管部门依法给予行政处分。制造地震谣言，扰乱社会正常秩序的，由公安机关依法给予治安管理处罚。
"
西藏自治区实施《中华人民共和国防震减灾法》办法,"第八条 地震预报实行统一发布制度。自治区地震行政主管部门负责提出本行政区域内破坏性地震短期、临震预测意见，由自治区人民政府按有关规定统一发布。
 地震工作专业人员不得擅自向社会泄露地震预测意见。
 鼓励和支持地震预测的科学研究和应用。任何单位或个人不得擅自向社会发布地震短期和临震预报信息，不得散布地震谣言。发生地震谣言，影响社会正常秩序时，县级以上人民政府应当采取措施，迅速予以澄清。
 与地震预报有关的新闻报道，应当经自治区地震行政主管部门审核。"
河北省实施《中华人民共和国防震减灾法》办法,"第四十四条 违反本办法规定，有下列行为之一的，对直接责任人员和主管人员由其所在单位或上级主管部门给予行政处分；属于违反治安管理规定行为的，依照《中华人民共和国治安管理处罚条例》的规定给予处罚；构成犯罪的，依法追究刑事责任：
 （一）擅自向社会散布地震预测预报意见的；
 （二）制造地震谣言，扰乱社会正常秩序的；
 （三）故意虚报、瞒报地震灾情的；
 （四）截留、挪用防震减灾资金、物资的；
 （五）盗窃、哄抢公共财物和个人财物以及防震减灾资金、物资的；
 （六）在地震应急与抗震救灾期间，妨碍国家工作人员执行公务的；
 （七）国家工作人员在防震减灾工作中玩忽职守，滥用职权，徇私舞弊的；
 （八）负有特定责任的国家工作人员在抗震救灾工作中擅离职守、临阵脱逃的。"
宁夏回族自治区防震减灾条例,"第四十五条 违反本条例，有下列行为之一的，由公安机关依照《中华人民共和国治安管理处罚条例》处理；构成犯罪的，依法追究刑事责任：
 （一）故意散布地震谣言或擅自向社会扩散地震预测意见，扰乱社会秩序的；
 （二）阻碍防震减灾工作人员执行公务的；
 （三）阻挠抗震救灾指挥部紧急调用人员、物资或者占用场地的；
 （四）对防震减灾工作造成危害，应由公安机关处罚的其他违法行为。"
江西省反不正当竞争条例,"第十六条 经营者不得以下列手段捏造、散布虚假事实，损害竞争对手的商业信誉、商品声誉：
 （一）就商品的质量、性能、价格交易条件等与其他经营者的同类商品作对比宣传，或者刊登、散布声明性广告；
 （二）以客户、消费者的名义或者指使他人以客户、消费者的名义，向国家机关、传播媒介、行业组织进行投诉；
 （三）散布谣言、散发传单或者其他宣传品；
 （四）其他诋毁竞争对手的行为。"
黑龙江省防震减灾条例,"第四十一条 制造地震谣言，散布地震情报，造成社会危害，构成犯罪的，依法追究刑事责任；尚不构成犯罪的，由有关部门给予行政处罚。
"
甘肃省防震减灾条例(1998),"第三十三条 违反本条例有下列行为之一的由有关行政机关给予行政处分；违反治安管理的，依照治安管理处罚条例给予处罚；构成犯罪的，依法追究刑事责任：
 （一）不按照本条例制定破坏性地震应急预案的；
 （二）擅自发布或泄露地震短期和临震预测预报意见，或制造地震谣言，严重扰乱社会秩序的；
 （三）违抗抗震救灾指挥机构命令，拒不实施破坏性地震应急预案，拒不承担地震应急与救灾任务的；
 （四）妨碍防震减灾工作人员执行公务，哄抢国家、集体或公民的财产、盗窃救灾经费或物资的；
 （五）防震减灾工作人员和有关国家工作人员失职渎职，截留挪用或贪污盗窃地震应急工作经费或物资的；
 （六）对防震减灾工作造成危害的其他行为。"
海南省防震减灾条例,"第四十九条 违反本条例规定，有下列行为之一的，对有关责任人给予行政处分；属于违反治安管理行为的，依照治安管理处罚条例的规定给予处罚；构成犯罪的，依法追究刑事责任：
 （一）虚报、瞒报灾情的；
 （二）编造地震谣言，蛊惑群众的；
 （三）贪污、截留、挪用防震减灾资金或物资的；
 （四）有特定责任的国家工作人员在防震减灾工作中不执行命令或者玩忽职守的；
 （五）破坏地震监测设施或者观测环境的；
 （六）盗窃、哄抢防震减灾资金、物资的；
 （七）在地震应急与救灾期间，阻碍灾区地震监测人员、抗震救灾人员执行公务的。"
吉林省人民代表大会常务委员会关于修改《吉林省信访条例》的决定,"二、将第三十条第六项中规定“制造谣言，诽谤、攻击共产党的领导和社会主义制度的”内容删除。
"
广东省实施《中华人民共和国反不正当竞争法》办法(1997修改),"第九条 经营者不得采取下列手段，损害竞争对手的商业信誉和商品声誉：
 （一）刊登对比性或者声明性广告，贬低竞争对手；
 （二）利用商品说明书吹嘘其商品质量，贬低竞争对手；
 （三）在公开场合散发传单或者小册子，对竞争对手的生产、销售、服务、产品质量等进行诋毁；
 （四）自己或者唆使、雇佣他人，以客户或者消费者的名义向国家机关、新闻单位、行业协会、消费者组织等有关部门作虚假的投诉；
 （五）以其他公开或者非公开的形式向用户和消费者捏造事实、散布谣言，贬低竞争对手。"
福建省防震减灾条例,"第三十二条 擅自向社会扩散地震预测意见或制造、散布地震谣言，造成社会秩序混乱，违反治安管理行为的，由公安机关依法处罚；构成犯罪的，依法追究刑事责任。
"
哈尔滨市人民警察巡察条例(1997修改),"第十二条 有下列扰乱公共秩序行为之一，尚不够刑事处罚的，处十五日以下拘留、二百元以下罚款或者警告：
 （一）扰乱公共场所和公共电汽车站点秩序的；
 （二）结伙斗殴，寻衅滋事，侮辱妇女或者进行其他流氓活动的；
 （三）捏造或者歪曲事实、故意散布谣言或者以其他方法煽动扰乱社会秩序的；
 （四）谎报险情，制造混乱的；
 （五）拒绝、阻碍国家机关工作人员依法执行职务，尚未使用暴力、威胁方法的。"
河北省实施《中华人民共和国防震减灾法》办法,"第四十四条 违反本办法规定，有下列行为之一的，对直接责任人员和主管人员由其所在单位或上级主管部门给予行政处分；属于违反治安管理规定行为的，依照《中华人民共和国治安管理处罚条例》的规定给予处罚；构成犯罪的，依法追究刑事责任：
 （一）擅自向社会散布地震预测预报意见的；
 （二）制造地震谣言，扰乱社会正常秩序的；
 （三）故意虚报、瞒报地震灾情的；
 （四）截留、挪用防震减灾资金、物资的；
 （五）盗窃、哄抢公共财物和个人财物以及防震减灾资金、物资的；
 （六）在地震应急与抗震救灾期间，妨碍国家工作人员执行公务的；
 （七）国家工作人员在防震减灾工作中玩忽职守，滥用职权，徇私舞弊的；
 （八）负有特定责任的国家工作人员在抗震救灾工作中擅离职守、临阵脱逃的。"
宁夏回族自治区防震减灾条例,"第四十五条 违反本条例，有下列行为之一的，由公安机关依照《中华人民共和国治安管理处罚条例》处理；构成犯罪的，依法追究刑事责任：
 （一）故意散布地震谣言或擅自向社会扩散地震预测意见，扰乱社会秩序的；
 （二）阻碍防震减灾工作人员执行公务的；
 （三）阻挠抗震救灾指挥部紧急调用人员、物资或者占用场地的；
 （四）对防震减灾工作造成危害，应由公安机关处罚的其他违法行为。"
江西省反不正当竞争条例,"第十六条 经营者不得以下列手段捏造、散布虚假事实，损害竞争对手的商业信誉、商品声誉：
 （一）就商品的质量、性能、价格交易条件等与其他经营者的同类商品作对比宣传，或者刊登、散布声明性广告；
 （二）以客户、消费者的名义或者指使他人以客户、消费者的名义，向国家机关、传播媒介、行业组织进行投诉；
 （三）散布谣言、散发传单或者其他宣传品；
 （四）其他诋毁竞争对手的行为。"
黑龙江省防震减灾条例,"第四十一条 制造地震谣言，散布地震情报，造成社会危害，构成犯罪的，依法追究刑事责任；尚不构成犯罪的，由有关部门给予行政处罚。
"
甘肃省防震减灾条例(1998),"第三十三条 违反本条例有下列行为之一的由有关行政机关给予行政处分；违反治安管理的，依照治安管理处罚条例给予处罚；构成犯罪的，依法追究刑事责任：
 （一）不按照本条例制定破坏性地震应急预案的；
 （二）擅自发布或泄露地震短期和临震预测预报意见，或制造地震谣言，严重扰乱社会秩序的；
 （三）违抗抗震救灾指挥机构命令，拒不实施破坏性地震应急预案，拒不承担地震应急与救灾任务的；
 （四）妨碍防震减灾工作人员执行公务，哄抢国家、集体或公民的财产、盗窃救灾经费或物资的；
 （五）防震减灾工作人员和有关国家工作人员失职渎职，截留挪用或贪污盗窃地震应急工作经费或物资的；
 （六）对防震减灾工作造成危害的其他行为。"
海南省防震减灾条例,"第四十九条 违反本条例规定，有下列行为之一的，对有关责任人给予行政处分；属于违反治安管理行为的，依照治安管理处罚条例的规定给予处罚；构成犯罪的，依法追究刑事责任：
 （一）虚报、瞒报灾情的；
 （二）编造地震谣言，蛊惑群众的；
 （三）贪污、截留、挪用防震减灾资金或物资的；
 （四）有特定责任的国家工作人员在防震减灾工作中不执行命令或者玩忽职守的；
 （五）破坏地震监测设施或者观测环境的；
 （六）盗窃、哄抢防震减灾资金、物资的；
 （七）在地震应急与救灾期间，阻碍灾区地震监测人员、抗震救灾人员执行公务的。"
吉林省人民代表大会常务委员会关于修改《吉林省信访条例》的决定,"二、将第三十条第六项中规定“制造谣言，诽谤、攻击共产党的领导和社会主义制度的”内容删除。
"
广东省实施《中华人民共和国反不正当竞争法》办法(1997修改),"第九条 经营者不得采取下列手段，损害竞争对手的商业信誉和商品声誉：
 （一）刊登对比性或者声明性广告，贬低竞争对手；
 （二）利用商品说明书吹嘘其商品质量，贬低竞争对手；
 （三）在公开场合散发传单或者小册子，对竞争对手的生产、销售、服务、产品质量等进行诋毁；
 （四）自己或者唆使、雇佣他人，以客户或者消费者的名义向国家机关、新闻单位、行业协会、消费者组织等有关部门作虚假的投诉；
 （五）以其他公开或者非公开的形式向用户和消费者捏造事实、散布谣言，贬低竞争对手。"
福建省防震减灾条例,"第三十二条 擅自向社会扩散地震预测意见或制造、散布地震谣言，造成社会秩序混乱，违反治安管理行为的，由公安机关依法处罚；构成犯罪的，依法追究刑事责任。
"
哈尔滨市人民警察巡察条例(1997修改),"第十二条 有下列扰乱公共秩序行为之一，尚不够刑事处罚的，处十五日以下拘留、二百元以下罚款或者警告：
 （一）扰乱公共场所和公共电汽车站点秩序的；
 （二）结伙斗殴，寻衅滋事，侮辱妇女或者进行其他流氓活动的；
 （三）捏造或者歪曲事实、故意散布谣言或者以其他方法煽动扰乱社会秩序的；
 （四）谎报险情，制造混乱的；
 （五）拒绝、阻碍国家机关工作人员依法执行职务，尚未使用暴力、威胁方法的。"
福建省保护妇女儿童合法权益的若干规定(1989修正),"制造、散布谣言，煽动妇女取环，严重妨碍计划生育工作的，按《刑法》第一百五十八条扰乱社会秩序罪惩处。
"
广东省计划生育条例,"第二十二条 对不实行计划生育的，非法取环的，要进行批评教育，教育不改、影响很坏的，要给予纪律处分。 对利用职权，徇私舞弊，或散布谣言，打击陷害计划生育工作人员、积极分子等破坏计划生育者，要严肃处理，造成严重恶果的，依法惩处。
"
吉林省人民警察巡察条例,"第十二条 违反治安管理，有下列行为之一的，处１５日以下拘留、２００元以下罚款或者警告：… （四）捏造或者歪曲事实，故意散布谣言或者以其他方式方法煽动扰乱社会秩序的；…
"
贵州省实施《中华人民共和国集会游行示威法》办法(1997修改),"第五条 集会、游行、示威应当和平地进行，不得扰乱社会治安、阻塞交通；不得涂写刻画；不得制造散布谣言、侮辱诽谤他人；不得破坏公共设施；不得携带武器、管制刀具和易燃易爆等危害公共安全的物品；不得使用暴力或者煽动使用暴力；不得以引诱、胁迫手段威逼他人参加。
"
江西省实施《中华人民共和国集会游行示威法》办法(1997修正),"第十八条 参加集会、游行、示威的人员必须严格遵守本办法第五条规定，并禁止下列行为：
 （一）包围、冲击国家机关或者妨碍国家机关的公务活动；
 （二）散布谣言或者发表、呼喊和举持与集会、游行、示威目的不相符的以及有诽谤、侮辱性语言的演说、口号和标语；
 （三）沿途刻画、涂写或张贴标语，抛撒宣传品；
 （四）侵占、损毁绿地、园林、公共设施；
 （五）拦截车辆，阻塞交通，破坏交通工具和交通设施，扰乱交通秩序。"
湖南省城市人民警察巡逻条例(1997修正),"第十七条 有下列扰乱公共秩序行为之一的，处１５日以下拘留、２００元以下罚款或者警告：
 （一）扰乱道路及公共广场秩序的；
 （二）结伙斗殴、寻衅滋事、侮辱妇女或者进行其他流氓活动的；
 （三）捏造或者歪曲事实、故意散布谣言或者以其他方法煽动扰乱社会秩序的；
 （四）谎报险情、制造混乱的；
 （五）拒绝、阻碍国家工作人员依法执行职务，未使用暴力、威胁方法的。"
湖北省分洪区安全建设与管理条例,"第三十二条 违反本条例有下列行为之一的，由县级以上防汛指挥部门或分洪区管理部门批评教育，责令其停止违法行为，情节严重的，由行政主管部门或行政监察机关追究责任单位主要负责人和直接责任人的责任。构成犯罪的，由司法机关追究刑事责任。
 （一）拒不执行防御洪水方案，或拒不执行防汛指挥部门的分洪命令的；
 （二）阻碍执行防洪任务的；
 （三）执行分洪命令不力或滥发命令、散布谣言造成人心恐慌及财产损失的；
 （四）玩忽职守，或在分洪紧要关头脱逃的；
 （五）截留、挪用、挤占、贪污、盗窃分洪区建设、管理资金及分洪救灾款物的；
 （六）侵占、破坏、盗窃分洪区安全设施的。"
青海省信访条例,"第三十三条 信访人有下列行为之一，情节轻微的，应予以批评教育或者处分；违反治安管理的，由公安部门依照《中华人民共和国治安管理处罚条例》予以处罚；构成犯罪的，依法追究刑事责任：
 （一）歪曲或者捏造事实，诬告和陷害他人的；
 （二）影响国家机关工作秩序，损害接待场所的公私财物，威胁、侮辱、殴打工作人员的；
 （三）拦截公务车辆，围堵、冲击国家机关，妨碍公共秩序，影响正常公务活动进行的，或者占据公共场所，聚众闹事的；
 （四）携带危险品、爆炸品以及管制器械进入接待场所的；
 （五）诱使、胁迫他人信访，或者制造谣言、煽动群众集体上访的；
 （六）有其他违法、犯罪行为的。"
山西省防震减灾暂行条例,"第四十九条 有下列行为之一，依照《中华人民共和国治安管理处罚条例》予以处罚；构成犯罪的，依法追究刑事责任：
 （一）散布地震谣言，扰乱社会秩序的；
 （二）阻碍抗震救灾人员执行公务的；
 （三）哄抢国家、集体或公民财物的；
 （四）盗窃、贪污、挪用防震减灾资金和物资的；
 （五）损毁生命线工程和次生灾害源防护设施的。"
四川省防震减灾条例,"第四十四条 违反本条例，有下列行为之一的，由公安机关按《中华人民共和国治安管理处罚条例》予以处罚；构成犯罪的，由司法机关依法追究其刑事责任：
 （一）制造或散布地震谣言，造成社会秩序混乱的；
 （二）破坏地震监测设施及观测环境的；
 （三）在地震应急与救灾期间，妨碍灾区地震监测人员、抗震救灾人员执行公务的；
 （四）盗窃、哄抢防震减灾经费、物资或国家、集体、个人财物的。"
安徽省防震减灾条例,"第三十三条 违反本条例第十三条规定，或制造地震谣言、扰乱社会铁序的单位和个人，由有关部门给予行政处罚；构成犯罪的，依法追究刑事责任。
"
无锡市人民警察巡察条例,"第十九条 有下列扰乱公共秩序行为之一，尚不够刑事处罚的，处十五日以下拘留、二百元以下罚款或者警告：
 （四）结伙斗殴，寻衅滋事，侮辱妇女或者进行其他流氓活动的；
 （五）捏造或者歪曲事实、故意散布谣言或者以其他方法煽动扰乱社会秩序的；
 （六）谎报险情，制造混乱的；
 （七）拒绝、阻碍国家工作人员依法执行职务，未使用暴力、威胁方法的。"
湖南省城市人民警察巡逻条例,"第十七条 有下列扰乱公共秩序行为之一的，处１５日以下拘留、２００元以下罚款或者警告：
 （一）扰乱道路及公共广场秩序的；
 （二）结伙斗殴、寻衅滋事、侮辱妇女或者进行其他流氓活动的；
 （三）捏造或者歪曲事实、故意散布谣言或者以其他方法煽动扰乱社会秩序的；
 （四）谎报险情、制造混乱的；
 （五）拒绝、阻碍国家工作人员依法执行职务，未使用暴力、威胁方法的。"
河南省期货市场管理条例(试行),"第八十七条 期货经纪机构、从事自营业务的期货交易会员有下列行为之一的，由省期货市场行政管理部门根据不同情况，责令改正，单处或并处警告、没收违法所得、罚款；… （十二）散布谣言，制造市场假象；…
"
吉林省信访条例,"第三十条 信访人在信访活动中有下列行为的，由公安部门依照《中华人民共和国治安管理处罚条例》予以处罚或者由民政、信访部门设立的收容教育机构收容遣送，触犯刑律的移送司法机关依法处理：
 （一）无理取闹、纠缠，妨碍公务，扰乱工作秩序、社会秩序的；
 （二）将老、弱、病、残人员或儿童舍弃在国家机关进行要挟的；
 （三）侮辱、殴打信访工作人员的；
 （四）以上访为名，流窜行骗，影响社会治安的；
 （五）携带爆炸物品或者凶器威胁工作人员的；
 （六）制造谣言，诽谤、攻击共产党的领导和社会主义制度的；
 （七）捏造事实，诬告陷害他人的。"
福建省各级人民代表大会常务委员会办理人民群众来信来访工作条例,"第十条 来信来访人员中有下列行为之一的，各级人大常委会可责成有关部门给予批评教育、行政处分，或由民政、公安部门收容遣送、治安处罚或劳动教养，构成犯罪的，由司法机关追究刑事责任：
 （一）无理取闹，不听劝告，妨碍国家机关工作人员执行公务的；
 （二）聚众闹事，影响国家机关正常工作秩序，冲击人民代表大会及其常务委员会的；
 （三）利用各种手段侮辱、威胁、殴打、伤害信访工作人员的；
 （四）利用信访渠道捏造事实诬陷他人、散布谣言或反革命言论的；
 （五）其他违纪违法行为。"
贵州省信访条例,"第二十八条 信访的公民有下列行为之一的，由信访部门予以批评或者建议有关部门给予行政处分；违反《中华人民共和国治安管理处罚条例》的，由公安机关予以处罚；构成犯罪的，由司法机关依法追究刑事责任：
 （一）无理取闹、纠缠或妨碍公务，扰乱工作秩序的；
 （二）不听劝阻，长期滞留于信访部门的；
 （三）侮辱、殴打信访工作人员的；
 （四）散布谣言，捏造事实，诽谤、诬陷他人的；
 （五）携带危险物品上访的；
 （六）其他违纪、违法行为。"
江西省实施《中华人民共和国集会游行示威法》办法,"第十八条 参加集会、游行、示威的人员必须严格遵守本办法第五条规定，并禁止下列行为：
 （一）包围、冲击国家机关或者妨碍国家机关的公务活动；
 （二）散布谣言或者发表、呼喊和举持与集会、游行、示威目的不相符的以及有诽谤、侮辱性语言的演说、口号和标语；
 （三）沿途刻画、涂写或张贴标语，抛撒宣传品；
 （四）侵占、损毁绿地、园林、公共设施；
 （五）拦截车辆，阻塞交通，破坏交通工具和交通设施，扰乱交通秩序。"
贵州省实施《中华人民共和国集会游行示威法》办法,"第五条 集会、游行、示威应当和平地进行，不得扰乱社会治安、阻塞交通；不得涂写刻画；不得制造散布谣言、侮辱诽谤他人；不得破坏公共设施；不得携带武器、管制刀具和易燃易爆等危害公共安全的物品；不得使用暴力或者煽动使用暴力；不得以引诱、胁迫手段威逼他人参加。
"
安徽省实施《中华人民共和国集会游行示威法》办法,"第十八条 举行集会、游行、示威时，严格禁止下列行为：
 （一）使用暴力或煽动使用暴力；
 （二）拦阻车辆、阻塞交通，破坏交通工具或交通设施；
 （三）携带武器、弹药、管制刀具、易燃易爆物及其他足以危害人身、财产安全的物品；
 （四）沿途刻画、涂写或者张贴宣传品，侵占、损毁绿地、园林、公共设施、公私财物；
 （五）投掷妨碍公共秩序或危害人身安全的物品；
 （六）诽谤、侮辱他人或者制造、传播谣言、扰乱公共秩序；
 （七）在桥梁、铁路道口停留或集会，或以静坐方式举行示威活动；
 （八）进行其他违法犯罪活动或者煽动他人进行违法犯罪活动。"
福建省保护妇女儿童合法权益的若干规定(1989修正),"制造、散布谣言，煽动妇女取环，严重妨碍计划生育工作的，按《刑法》第一百五十八条扰乱社会秩序罪惩处。
"
